,web-scraper-order,web-scraper-start-url,links,links-href,user,comment,date
312,1574881295-15353,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,Pg And The Flu,https://www.vaportalk.com/forum/topic/2752-pg-and-the-flu/,Vapor Talk Respected Member,,
313,1574881428-16476,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/9,Kinda Weird!,https://www.vaportalk.com/forum/topic/5039-kinda-weird/,VT Member,,
314,1574881336-15616,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,Discrimination?,https://www.vaportalk.com/forum/topic/3635-discrimination/,Vapor Talk Village Idiot,,
315,1574881363-15908,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/9,Went To The Doctor,https://www.vaportalk.com/forum/topic/3757-went-to-the-doctor/,,"Sorry I missed this Brian. I haven't read all the comments, but just know that I'm sending excellent hippie vibes all around the earth on your behalf.  I'm sure that will really turn things around! 

Honestly, I hope all goes well for you. Hang in there and let us know if there's anything we can do to help.",
316,1574881698-16705,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/8,Went To The Doctor Today......,https://www.vaportalk.com/forum/topic/7881-went-to-the-doctor-today/,,,"September 15, 2010"
317,1574881768-16768,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/8,Survey On The Effects Of Vaping,https://www.vaportalk.com/forum/topic/7770-survey-on-the-effects-of-vaping/,,"Done!!   Yeah dayvape   ""stomach wind"" ! ROFL",
318,1574881422-16425,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/9,Vaping Around Children,https://www.vaportalk.com/forum/topic/6707-vaping-around-children/,,,"July 19, 2010"
319,1574881363-15905,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/9,Went To The Doctor,https://www.vaportalk.com/forum/topic/3757-went-to-the-doctor/,,"On 1/27/2010 at 7:55 PM, Brian said: 
Been having pains in my chest, and tightening, shortness of breath and chronic fatigue.  Not severe pain, but definately noticable.  Also flutters in my heart (don't know of any other way to describe it) and sometimes rapid heart beat.  This is something I've experienced for a few years, but it usually comes and goes.  Over the past few months it's gotten worse.  Since I was a smoker and since my dad had a heart attack when he was only 54, she didn't feel comfortable with just ordering a stress test.  She said stress test are only about 75% accurate and she wanted to make sure I didn't fall through the cracks.  She said that between now an my appointment, if I have any pain that doesn't subside, get my butt to the ER.  

Snow?  We're suppose to get a big snow storm starting Friday (last time I check).  

Thanks everyone for the encouragement!  Much appreciated.

Hey Brian, I would hang on to the fact this has happened before as good news, but definitely don't screw around and get it checked out.  Hoping for the best.",
320,1574881428-16488,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/9,Kinda Weird!,https://www.vaportalk.com/forum/topic/5039-kinda-weird/,,"It was suggested before in another thread to increase the daily fluid intake and to avoid using more sugary drinks when making the switch. So I also suggest increasing your water intake to start, but if it does not improve you should really contact your doctor.",
321,1574881371-16016,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/9,Poisons In E-Juice?,https://www.vaportalk.com/forum/topic/3962-poisons-in-e-juice/,,,"February 8, 2010"
322,1574881298-15394,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,Scientists Crack 'entire Genetic Code' Of Cancer,https://www.vaportalk.com/forum/topic/2843-scientists-crack-entire-genetic-code-of-cancer/,,"That's amazing. A wonderful discovery for sure; hopefully, this will evolve into what they expect it should.",
323,1574881383-16113,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/9,Vaping And Heart Flutters?,https://www.vaportalk.com/forum/topic/4766-vaping-and-heart-flutters/,,,"March 28, 2010"
324,1574881336-15652,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,Discrimination?,https://www.vaportalk.com/forum/topic/3635-discrimination/,,,"January 25, 2010"
325,1574881343-15732,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,Ejuice Absorption Through The Skin,https://www.vaportalk.com/forum/topic/2630-ejuice-absorption-through-the-skin/,Mega Vaper,,
326,1574881422-16424,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/9,Vaping Around Children,https://www.vaportalk.com/forum/topic/6707-vaping-around-children/,,"I never vape in front of Little kids.. every time i see kids walking around, i usually ghost the vapor(hold it in) and conceal my pv. I have little baby cousins and wouldnt dare vape in front of them.. mainly cuz my parents would prolly kill me =)",
327,1574881365-15961,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/9,What My Doctor Said...,https://www.vaportalk.com/forum/topic/3442-what-my-doctor-said/,,,"January 16, 2010"
328,1574881309-15475,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,Vapor Cough The New Smokers Cough?,https://www.vaportalk.com/forum/topic/3130-vapor-cough-the-new-smokers-cough/,,"I think I jinxed myself by making the post last night.  About an hour after I fell asleep, had the worst coughing fit from vaping to date.  Woke up coughing painfully after that first hour of sleep.  Had to take cough medicine to get it to stop and so that I could go back to sleep.  

I'm interested about the PG comment above since I've seen VG based juices available.  Would switching to VG possibly get rid of this dry throat issue?",
329,1574881336-15654,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,Discrimination?,https://www.vaportalk.com/forum/topic/3635-discrimination/,,,"January 25, 2010"
330,1574881330-15572,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,Safety: Vape Vs Smoke,https://www.vaportalk.com/forum/topic/3569-safety-vape-vs-smoke/,,"it wasn't gun powder, but there WAS a chemical that made then keep burning even when not being actively smoked (though i am too lazy to look up the name of the chemical...). this is exactly why european smokes would go out (or some USA roll your own type tobaccos). and, yes, it was so they kept burning when you set them down and wast it so you have to buy more. that chemical was JUST banned like a month or two ago so now USA analogs will go out if unattended for too long.",
331,1574881403-16183,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/9,General Vaping Question From A Noobie,https://www.vaportalk.com/forum/topic/5185-general-vaping-question-from-a-noobie/,Vapor Talk Respected Member,,
332,1574881340-15680,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,Check Out This Blown Up Bb,https://www.vaportalk.com/forum/topic/3768-check-out-this-blown-up-bb/,The Veteran Vaper,,
333,1574881295-15366,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,Pg And The Flu,https://www.vaportalk.com/forum/topic/2752-pg-and-the-flu/,,"On 12/12/2009 at 5:47 PM, Ray said: 
Get to feelin better.
Are you vaping menthol?

Thanks Ray. Absolutely NO way I can do menthol. Never been able to handle it. If the only flavor of analogs and e cig was menthol, Id never use either.",
334,1574881107-15246,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,Lets Talk Seriously About Nicotine,https://www.vaportalk.com/forum/topic/1920-lets-talk-seriously-about-nicotine/,Vapor Talk Respected Member,,
335,1574881414-16285,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/9,Nose Bleed,https://www.vaportalk.com/forum/topic/5721-nose-bleed/,The Godfather,,
336,1574881419-16384,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/9,E Cig Safety,https://www.vaportalk.com/forum/topic/6439-e-cig-safety/,Vapor Talk FanGirl,,
337,1574881340-15679,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,Check Out This Blown Up Bb,https://www.vaportalk.com/forum/topic/3768-check-out-this-blown-up-bb/,The Godfather,,
338,1574881309-15489,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,Vapor Cough The New Smokers Cough?,https://www.vaportalk.com/forum/topic/3130-vapor-cough-the-new-smokers-cough/,,,"January 3, 2010"
339,1574881343-15763,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,Ejuice Absorption Through The Skin,https://www.vaportalk.com/forum/topic/2630-ejuice-absorption-through-the-skin/,,"I fill some empty carts last night for the first time and some of the liquid came out onto my lips while vaping.  Even today a bit leaked out.  Maybe I overfilled.  I didn't feel any crazy effects from it on my lips though, thank goodness.",
340,1574881107-15250,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,Lets Talk Seriously About Nicotine,https://www.vaportalk.com/forum/topic/1920-lets-talk-seriously-about-nicotine/,VT Member,,
341,1574881378-16064,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/9,"Mouth Sores, Issues Resolved",https://www.vaportalk.com/forum/topic/4619-mouth-sores-issues-resolved/,,,"March 19, 2010"
342,1574881109-15301,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,Modern Marvels: Tobacco,https://www.vaportalk.com/forum/topic/2119-modern-marvels-tobacco/,Supreme Vaper,,
343,1574881695-16675,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/8,Here's An Interesting Story Re: Nicotine Strength And Safety Around Children,https://www.vaportalk.com/forum/topic/7829-heres-an-interesting-story-re-nicotine-strength-and-safety-around-children/,,"Thank you for being brave enough to share your story so that we can all learn from it.

I am so glad your little girl was ok.

I always have baby wipes with me when I am filling and messing with juice, so if I spill I can get it up right away and there is no way that it is going to still be there.

The other thing you might want to be careful about is calling it ""JUICE"" in front of the kids.  Call it nicotine liquid or niquid or whatever don't let them thin its juice.

Take care!",
344,1574881593-16522,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/8,"Kinda Funny, But...",https://www.vaportalk.com/forum/topic/7341-kinda-funny-but/,,"Hehe, the uses for this stuff are endless! Just make sure to use the zero nic!",
345,1574881309-15481,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,Vapor Cough The New Smokers Cough?,https://www.vaportalk.com/forum/topic/3130-vapor-cough-the-new-smokers-cough/,,"A remedy that I used when I was smoking analog cigarettes is Biotene dry mouth gum. you can get it at walgreens in the toothpaste/mouthwash etc aisle. Its a little strange, but the gum stimulates you into salivating more, which helped me a lot with my dry mouth and throat. It comes in a mouthwash, a toothpaste, a gum, a spray and a gel. 

I have a window shopping problem...and I originally bought the gum because I thought it was hilarious that it makes you salivate more. But when it helped my smoker's dry throat I decided it wasn't so hilarious anymore XD


			
				


	Edited January 3, 2010 by Gitzy",
346,1574881416-16331,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/9,Migraines,https://www.vaportalk.com/forum/topic/4898-migraines/,Mega Vaper,,
347,1574881403-16189,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/9,General Vaping Question From A Noobie,https://www.vaportalk.com/forum/topic/5185-general-vaping-question-from-a-noobie/,,"It looks like the throat issue has already been addressed here, so I'll just tell you that yes, everything starts getting better - and much quicker than a month even.  Like Jeff said, energy increases, breathing gets easier and easier, and headaches go away.  My sense of smell returned.  Food tastes different - sometimes better, sometimes worse LOL.  Check out the health section on the forum.  Lots and lots of things have been discussed there.  It's truly amazing.",
348,1574881336-15597,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,Discrimination?,https://www.vaportalk.com/forum/topic/3635-discrimination/,Mega Vaper,,
349,1574881407-16246,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/9,American Lung Association Vs. Electronic Cigarettes,https://www.vaportalk.com/forum/topic/5076-american-lung-association-vs-electronic-cigarettes/,,,"April 16, 2010"
350,1574881695-16673,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/8,Here's An Interesting Story Re: Nicotine Strength And Safety Around Children,https://www.vaportalk.com/forum/topic/7829-heres-an-interesting-story-re-nicotine-strength-and-safety-around-children/,The Veteran Vaper,,
351,1574881416-16348,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/9,Migraines,https://www.vaportalk.com/forum/topic/4898-migraines/,Off- grid Solar baby,,
352,1574881365-15936,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/9,What My Doctor Said...,https://www.vaportalk.com/forum/topic/3442-what-my-doctor-said/,VT Member,,
353,1574881403-16193,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/9,General Vaping Question From A Noobie,https://www.vaportalk.com/forum/topic/5185-general-vaping-question-from-a-noobie/,,"While vaping I always stay hydrated and make sure there is always some moisture in my throat/mouth. At times I get an extremely dry feeling, like a burning feeling, at times it will even make my eyes water. Since a large portion of the nicotine is absorbed through your throat and upper airways rather than lungs, it can and will get irritated without proper care. Keeping a good flow of liquids I found is vitaly important for a positive vaping experience.",
354,1574881330-15591,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,Safety: Vape Vs Smoke,https://www.vaportalk.com/forum/topic/3569-safety-vape-vs-smoke/,,,"January 21, 2010"
355,1574881416-16369,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/9,Migraines,https://www.vaportalk.com/forum/topic/4898-migraines/,,,"April 1, 2010"
356,1574881698-16692,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/8,Went To The Doctor Today......,https://www.vaportalk.com/forum/topic/7881-went-to-the-doctor-today/,The Veteran Vaper,,
357,1574881396-16130,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/9,If Someone Is On Oxygen!,https://www.vaportalk.com/forum/topic/4510-if-someone-is-on-oxygen/,The Godfather,,
358,1574881303-15429,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,Nic. Inhaled Paralyzes Parts Of The Lungs,https://www.vaportalk.com/forum/topic/2299-nic-inhaled-paralyzes-parts-of-the-lungs/,,"On 11/18/2009 at 10:07 PM, vapemudgeon said: 
Eggs are good for you no bad for you. The world is freezing no its warming........ People shoot at anything they aren't involved in. I googled nicotine and lung paralysis and found plenty of information on the subject. Just browsing it seems it was all in regards to smoking. So, is the claim, due to nicotine or any of the other thousands of chemicals in cigarettes. Lets face it chronically ingesting any foreign chemical into your body, whether it be nicotine, caffeine, alcohol, smog or nuclear waste can't be good for long term health.... But neither is driving on the freeway !!!

No one gets out of here alive !!!


That's so good I had to quote it yet again.  I'm going to use this in every argument myself; you put it in a way that would be hard to deny -- though I can hear it now.  Thanks, that's good stuff. 

I'm so happy to have quit smoking - Today! Finally! - that I'm walking round like I'm king of the planet. No more analogs for this middle aged fat man.",
359,1574881311-15509,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,Going To The Gym,https://www.vaportalk.com/forum/topic/3260-going-to-the-gym/,,My suggestion is that it's your time away from the gym that accounts for most of your disappointment. Once you get back into your routine I bet you'll see amazing changes.,
360,1574881679-16648,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/8,Nicotine And Back Pain.,https://www.vaportalk.com/forum/topic/7588-nicotine-and-back-pain/,,Probably off topic but Kitsune you sound like a great nurse!,
361,1574881159-15318,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,The Effects Of Vaping,https://www.vaportalk.com/forum/topic/2235-the-effects-of-vaping/,Contributing Vaper,,
362,1574881109-15310,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,Modern Marvels: Tobacco,https://www.vaportalk.com/forum/topic/2119-modern-marvels-tobacco/,,,"November 11, 2009"
363,1574881309-15464,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,Vapor Cough The New Smokers Cough?,https://www.vaportalk.com/forum/topic/3130-vapor-cough-the-new-smokers-cough/,VT Member,,
364,1574881355-15839,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,It Burns!,https://www.vaportalk.com/forum/topic/3627-it-burns/,,"Man I did the same thing the other day - had juice on my fingers from dripping, rubbed my eye - OW!!! Good thing juice is water soluble, it washed out quickly and I recovered in no time. But lesson learned.",
365,1574881336-15633,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,Discrimination?,https://www.vaportalk.com/forum/topic/3635-discrimination/,,"On 1/25/2010 at 9:37 PM, Schizophretard said: 
I wonder how this policy will affect the hospital. It just seems like all it would do is make people go without nicotine a day or so before testing.



Hmmm Schizo i could be wrong but i think i read somewhere that it only takes 2 hours for the body to rid itself of nicotine.... so unless they plan on ambushing you at the door every morning with a list of hiree dates... even if this does work, it essentially can't.  My whole point of the post was just to bring it to everyones attention.  The more things that get dismissed or overlooked the more we're missing our opportunities.  Now days you have to read the fine print on everything anyone does, including the government. Our rights are slowly being taken away from us and half the time ""no one knew about it...""  LOL it brings to mind the most famous line in hitchhiker's guide to the universe: ""what do you mean you dont know about it? it was posted in the alpha centauri for 50 of your earth years... what do you mean you've never heard of the alpha centauri????"" ok so that last line was alittle off topic, but you get my point.",
366,1574881305-15456,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,Lesser Addiction,https://www.vaportalk.com/forum/topic/2307-lesser-addiction/,,I think that would be a great Idea monkbait! I was just on Dekang Biotechnology website and every time I clicked on their certificates it would shut down my browser! Supposedly they have approval of their liquids from Korea and Germany. check it out http://www.yndekang.com/product.asp,
367,1574881593-16508,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/8,"Kinda Funny, But...",https://www.vaportalk.com/forum/topic/7341-kinda-funny-but/,Vapor Talk FanGirl,,
368,1574881380-16097,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/9,Vaping While Sick Doesn't Really Feel All That Great!,https://www.vaportalk.com/forum/topic/4660-vaping-while-sick-doesnt-really-feel-all-that-great/,,,"March 23, 2010"
369,1574881303-15419,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,Nic. Inhaled Paralyzes Parts Of The Lungs,https://www.vaportalk.com/forum/topic/2299-nic-inhaled-paralyzes-parts-of-the-lungs/,VT Member,,
370,1574881698-16702,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/8,Went To The Doctor Today......,https://www.vaportalk.com/forum/topic/7881-went-to-the-doctor-today/,,That Dr. should talk with the FDA so they can actually do some investigation,
371,1574881336-15651,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,Discrimination?,https://www.vaportalk.com/forum/topic/3635-discrimination/,,,"January 25, 2010"
372,1574881428-16478,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/9,Kinda Weird!,https://www.vaportalk.com/forum/topic/5039-kinda-weird/,,"Moved to ""Health , Safety & The Electronic Cigarette"" forum.",
373,1574881336-15631,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,Discrimination?,https://www.vaportalk.com/forum/topic/3635-discrimination/,,"On 1/25/2010 at 8:53 PM, Speakeasy said: 

Might as well ban people who use alcohol too


well... technically, we did! and we all know how that turned out, lol. it spurred arguably the single greatest crime wave in human history.",
374,1574881176-15345,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,The Need To Drop The Nicotine,https://www.vaportalk.com/forum/topic/2243-the-need-to-drop-the-nicotine/,,,"November 17, 2009"
375,1574881176-15344,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,The Need To Drop The Nicotine,https://www.vaportalk.com/forum/topic/2243-the-need-to-drop-the-nicotine/,,"Well I might as well just switch back to analogs. 

/end sarcasm : )",
376,1574881340-15676,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,Check Out This Blown Up Bb,https://www.vaportalk.com/forum/topic/3768-check-out-this-blown-up-bb/,Vapor Talk God Poster,,
377,1574881674-16602,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/8,Hacking A Lung?,https://www.vaportalk.com/forum/topic/7479-hacking-a-lung/,,"Well, I sometimes have the occasional hacking but it never bothers me at all. Maybe Jeff is right...",
378,1574881403-16187,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/9,General Vaping Question From A Noobie,https://www.vaportalk.com/forum/topic/5185-general-vaping-question-from-a-noobie/,,"On 4/23/2010 at 7:50 AM, amcnutt said: 
Good morning all.  Today starts day 3 of my vaping adventure and I am very, very pleased.  This morning however I did notice one thing and I am not sure if it is the vaping or just the natural healing process from quiting the analog's.  When I take a drag from my 510 I get a quick almost painful burn in my throat, almost like it is raw or burned.  That said, I have some alergy issues at the moment along with a chough caused by analogs that is going away, but may be making my throat raw.  I guess I am just curious from the long time vapor's out there, if you vape alot, can you feel it in your throat or lungs?  Overall how do you feel after a month or so of kicking the analogs and going vape full time?  

One other note, I am vaping more than I smoked, I used to only smoke evenings and weekends, but I am vaping at work now during the day.  That said, I still think drag for drag I am taking less pulls now than with analogs.  Well, I look forward to reading your responses, thanks for the help.

Cheers,



Congrats on day 3 
Since you are vaping a lot, your throat could be getting irritated with the vapor. You may want to scale back on the vaping a little. Its not fun to vape if it hurts.
After kicking the analog habit I feel sooo much better. I have much more energy, I don't get sinus headaches all the time like I used to, and I can breathe better.  I hope the same for you.",
379,1574881336-15663,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,Discrimination?,https://www.vaportalk.com/forum/topic/3635-discrimination/,,,"January 26, 2010"
380,1574881416-16337,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/9,Migraines,https://www.vaportalk.com/forum/topic/4898-migraines/,Supreme Vaper,,
381,1574881107-15241,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,Lets Talk Seriously About Nicotine,https://www.vaportalk.com/forum/topic/1920-lets-talk-seriously-about-nicotine/,Contributing Vaper,,
382,1574881403-16186,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/9,General Vaping Question From A Noobie,https://www.vaportalk.com/forum/topic/5185-general-vaping-question-from-a-noobie/,,The only time I get the burn feeling is if I get it way to hot. Then I get a burnt taste as well as a burning feeling in my throat. Heat seems to be the enemy of taste and atomizers. If you get it too low on juice and start smoking the filling you will get that also. Some folks have to switch from PG to VG for different allergy issues. Im sure you will hear from the more experienced Vapers as well. Just my 2 cents.,
383,1574881695-16684,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/8,Here's An Interesting Story Re: Nicotine Strength And Safety Around Children,https://www.vaportalk.com/forum/topic/7829-heres-an-interesting-story-re-nicotine-strength-and-safety-around-children/,,,"September 14, 2010"
384,1574881670-16560,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/8,E-Cig Test,https://www.vaportalk.com/forum/topic/5235-e-cig-test/,Mega Vaper,,
385,1574881336-15634,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,Discrimination?,https://www.vaportalk.com/forum/topic/3635-discrimination/,,I understand. I think the reason we are losing our rights is because people don't understand what rights are. Most people's understanding of rights are just things the government allows you to do.,
386,1574881768-16765,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/8,Survey On The Effects Of Vaping,https://www.vaportalk.com/forum/topic/7770-survey-on-the-effects-of-vaping/,,Done,
387,1574881768-16740,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/8,Survey On The Effects Of Vaping,https://www.vaportalk.com/forum/topic/7770-survey-on-the-effects-of-vaping/,Mega Vaper,,
388,1574881303-15433,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,Nic. Inhaled Paralyzes Parts Of The Lungs,https://www.vaportalk.com/forum/topic/2299-nic-inhaled-paralyzes-parts-of-the-lungs/,,"On 12/27/2009 at 5:26 AM, Brian said: 
Well you're going to fit right in here.   


 That was my thought exactly. Welcome BMW!


			
				


	Edited December 27, 2009 by ddavelarsen",
389,1574881768-16761,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/8,Survey On The Effects Of Vaping,https://www.vaportalk.com/forum/topic/7770-survey-on-the-effects-of-vaping/,,"Okay Mark, I did it.",
390,1574881314-15538,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,Pg And Cats,https://www.vaportalk.com/forum/topic/2678-pg-and-cats/,,"On 12/9/2009 at 12:01 PM, SmokinHammer said: 
My cat is definitely strange. She'll lick the floor after my wife sprays perfume. She licks the lotion off of my wife's legs in the morning.  My personal favorite is when she licks my arm pit, because she likes the deodorant. (What a way to wake up!) So I have no idea what she'd do with PG.  I just know I don't want to find out.


I have heard of several cases regarding hormone cremes that women use for menopause and the effects it has on pets. When the cat or dog licks the skin where the creme has been applied, they ingest the hormone. People have said that it causes the animal to go into heat. This even happens with pets that have been spayed. Just a fyi.",
391,1574881159-15321,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,The Effects Of Vaping,https://www.vaportalk.com/forum/topic/2235-the-effects-of-vaping/,,"Most people get a little sick when they stop the analogs,I had cold like symptoms for around a week. It's just your
lungs getting back to normal.",
392,1574881416-16356,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/9,Migraines,https://www.vaportalk.com/forum/topic/4898-migraines/,,"good luck TeriJo, you're such a cheerful person it's hard to imagine you not feeling well. hope you feel better soon.


			
				


	Edited April 2, 2010 by kato07",
393,1574881336-15630,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,Discrimination?,https://www.vaportalk.com/forum/topic/3635-discrimination/,,"the Cleveland Clinic has been nicotine testing for years.

by the way, they are not just in Cleveland, OH... Cleveland Clinics are all over the country now.


technically it's not discrimination. it's like freedom of speech... it only really counts if the GOVERNMENT suppresses you. private companies don't count. 
same with the *** (<<< g..a..y..) issue. it was found totally legal for the Boy Scouts to bar gays from joining since they are a private organization.


it sucks, but i highly doubt there will be any real legal recourse.


			
				


	Edited January 25, 2010 by Stirfry",
394,1574881768-16777,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/8,Survey On The Effects Of Vaping,https://www.vaportalk.com/forum/topic/7770-survey-on-the-effects-of-vaping/,,"done, figured that would take a lot longer.",
395,1574881403-16172,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/9,General Vaping Question From A Noobie,https://www.vaportalk.com/forum/topic/5185-general-vaping-question-from-a-noobie/,Vapor Talk God Poster,,
396,1574881303-15412,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,Nic. Inhaled Paralyzes Parts Of The Lungs,https://www.vaportalk.com/forum/topic/2299-nic-inhaled-paralyzes-parts-of-the-lungs/,Contributing Vaper,,
397,1574881102-15220,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,Nic Content In Vaping Juice Vs Nic Content From Smoking Cigs,https://www.vaportalk.com/forum/topic/1639-nic-content-in-vaping-juice-vs-nic-content-from-smoking-cigs/,,"Chris, I failed MISERABLY in science and chemistry and, well, lets just say i failed miserably. If you gave me an atom bomb, I'll definitely go bring pain and hardship on whoever you need me to, If you ask me how it works .....
So, what was the answer, how much nic are we getting ? ( I REALLY mean no disrespect here )",
398,1574881365-15949,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/9,What My Doctor Said...,https://www.vaportalk.com/forum/topic/3442-what-my-doctor-said/,,(Moving to health and saftey section),
399,1574881343-15772,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,Ejuice Absorption Through The Skin,https://www.vaportalk.com/forum/topic/2630-ejuice-absorption-through-the-skin/,,,"January 28, 2010"
400,1574881343-15740,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,Ejuice Absorption Through The Skin,https://www.vaportalk.com/forum/topic/2630-ejuice-absorption-through-the-skin/,VT Member,,
401,1574881679-16651,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/8,Nicotine And Back Pain.,https://www.vaportalk.com/forum/topic/7588-nicotine-and-back-pain/,,"I just toughed mine out for quite a few years and the nerves finally scarred over ,now the pain is gone except when I really do something stupid.The outside of my right foot is numb but most people I know with the fused discs cannot do as much as I can .Now my arms are starting to tingle and have phantom pain from the nerves in my spine getting rubbed.It sucks getting old.I don't think you will miss the nic as much as you think you will.Niquid does not seem to be as addictive as smoking.I do like the pacifier effect of vaping though.


			
				


	Edited September 3, 2010 by mcquinn",
402,1574881422-16412,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/9,Vaping Around Children,https://www.vaportalk.com/forum/topic/6707-vaping-around-children/,,"On 7/19/2010 at 3:16 PM, Jolly said: 
light saber? where is this thing because i have got to see it.



the VT/PT lights up like crazy!",
403,1574881336-15607,https://www.vaportalk.com/forum/forum/134-vaping-health-safety/page/10,Discrimination?,https://www.vaportalk.com/forum/topic/3635-discrimination/,Mega Vaper,,
